Tr C(WL),Tr C(LEVEL)[LINEAR]
1399.6,1.21E-04
1399.8,1.19E-04
1400,1.16E-04
1400.2,1.14E-04
1400.4,1.13E-04
1400.6,1.12E-04
1400.8,1.13E-04
1401,1.12E-04
1401.2,1.12E-04
1401.4,1.17E-04
1401.6,1.18E-04
1401.8,1.17E-04
1402,1.18E-04
1402.2,1.19E-04
1402.4,1.19E-04
1402.6,1.18E-04
1402.8,1.17E-04
1403,1.16E-04
1403.2,1.15E-04
1403.4,1.14E-04
1403.6,1.14E-04
1403.8,1.13E-04
1404,1.12E-04
1404.2,1.11E-04
1404.4,1.06E-04
1404.6,1.00E-04
1404.8,9.90E-05
1405,9.81E-05
1405.2,9.78E-05
1405.4,9.73E-05
1405.6,1.02E-04
1405.8,1.05E-04
1406,1.05E-04
1406.2,1.04E-04
1406.4,1.02E-04
1406.6,1.01E-04
1406.8,9.82E-05
1407,9.66E-05
1407.2,9.57E-05
1407.4,9.66E-05
1407.6,9.75E-05
1407.8,9.78E-05
1408,9.93E-05
1408.2,9.99E-05
1408.4,9.87E-05
1408.6,9.65E-05
1408.8,9.36E-05
1409,8.99E-05
1409.2,8.80E-05
1409.4,8.66E-05
1409.6,8.66E-05
1409.8,8.67E-05
1410,8.84E-05
1410.2,9.08E-05
1410.4,9.17E-05
1410.6,9.20E-05
1410.8,9.13E-05
1411,9.05E-05
1411.2,8.98E-05
1411.4,8.87E-05
1411.6,8.74E-05
1411.8,8.55E-05
1412,8.41E-05
1412.2,8.31E-05
1412.4,8.18E-05
1412.6,8.12E-05
1412.8,8.03E-05
1413,8.09E-05
1413.2,8.05E-05
1413.4,8.04E-05
1413.6,7.89E-05
1413.8,7.71E-05
1414,7.60E-05
1414.2,7.44E-05
1414.4,7.31E-05
1414.6,7.17E-05
1414.8,7.19E-05
1415,7.15E-05
1415.2,7.02E-05
1415.4,7.01E-05
1415.6,6.95E-05
1415.8,6.87E-05
1416,6.81E-05
1416.2,6.78E-05
1416.4,6.74E-05
1416.6,6.77E-05
1416.8,6.75E-05
1417,6.69E-05
1417.2,6.63E-05
1417.4,6.59E-05
1417.6,6.49E-05
1417.8,6.38E-05
1418,6.23E-05
1418.2,6.10E-05
1418.4,5.91E-05
1418.6,5.71E-05
1418.8,5.54E-05
1419,5.38E-05
1419.2,5.27E-05
1419.4,5.22E-05
1419.6,5.22E-05
1419.8,5.24E-05
1420,5.26E-05
1420.2,5.26E-05
1420.4,5.25E-05
1420.6,5.16E-05
1420.8,5.11E-05
1421,5.00E-05
1421.2,4.85E-05
1421.4,4.71E-05
1421.6,4.55E-05
1421.8,4.39E-05
1422,4.25E-05
1422.2,4.10E-05
1422.4,3.99E-05
1422.6,3.90E-05
1422.8,3.86E-05
1423,3.84E-05
1423.2,3.82E-05
1423.4,3.80E-05
1423.6,3.76E-05
1423.8,3.76E-05
1424,3.71E-05
1424.2,3.65E-05
1424.4,3.55E-05
1424.6,3.46E-05
1424.8,3.33E-05
1425,3.17E-05
1425.2,3.01E-05
1425.4,2.88E-05
1425.6,2.77E-05
1425.8,2.69E-05
1426,2.66E-05
1426.2,2.64E-05
1426.4,2.63E-05
1426.6,2.65E-05
1426.8,2.64E-05
1427,2.60E-05
1427.2,2.57E-05
1427.4,2.52E-05
1427.6,2.45E-05
1427.8,2.32E-05
1428,2.22E-05
1428.2,2.11E-05
1428.4,1.99E-05
1428.6,1.89E-05
1428.8,1.80E-05
1429,1.75E-05
1429.2,1.72E-05
1429.4,1.68E-05
1429.6,1.67E-05
1429.8,1.68E-05
1430,1.69E-05
1430.2,1.67E-05
1430.4,1.66E-05
1430.6,1.62E-05
1430.8,1.58E-05
1431,1.52E-05
1431.2,1.45E-05
1431.4,1.38E-05
1431.6,1.30E-05
1431.8,1.24E-05
1432,1.19E-05
1432.2,1.17E-05
1432.4,1.15E-05
1432.6,1.14E-05
1432.8,1.15E-05
1433,1.16E-05
1433.2,1.18E-05
1433.4,1.18E-05
1433.6,1.17E-05
1433.8,1.16E-05
1434,1.12E-05
1434.2,1.10E-05
1434.4,1.07E-05
1434.6,1.04E-05
1434.8,1.01E-05
1435,9.99E-06
1435.2,9.99E-06
1435.4,9.95E-06
1435.6,1.00E-05
1435.8,1.02E-05
1436,1.04E-05
1436.2,1.06E-05
1436.4,1.07E-05
1436.6,1.06E-05
1436.8,1.06E-05
1437,1.06E-05
1437.2,1.02E-05
1437.4,9.74E-06
1437.6,9.57E-06
1437.8,9.33E-06
1438,9.25E-06
1438.2,9.24E-06
1438.4,9.36E-06
1438.6,9.63E-06
1438.8,1.01E-05
1439,1.04E-05
1439.2,1.09E-05
1439.4,1.16E-05
1439.6,1.20E-05
1439.8,1.23E-05
1440,1.23E-05
1440.2,1.23E-05
1440.4,1.19E-05
1440.6,1.14E-05
1440.8,1.09E-05
1441,1.03E-05
1441.2,9.75E-06
1441.4,9.45E-06
1441.6,9.48E-06
1441.8,9.82E-06
1442,1.03E-05
1442.2,1.14E-05
1442.4,1.23E-05
1442.6,1.35E-05
1442.8,1.46E-05
1443,1.55E-05
1443.2,1.60E-05
1443.4,1.64E-05
1443.6,1.63E-05
1443.8,1.57E-05
1444,1.49E-05
1444.2,1.37E-05
1444.4,1.27E-05
1444.6,1.16E-05
1444.8,1.08E-05
1445,1.05E-05
1445.2,1.05E-05
1445.4,1.10E-05
1445.6,1.23E-05
1445.8,1.40E-05
1446,1.60E-05
1446.2,1.81E-05
1446.4,2.00E-05
1446.6,2.16E-05
1446.8,2.25E-05
1447,2.28E-05
1447.2,2.23E-05
1447.4,2.13E-05
1447.6,1.98E-05
1447.8,1.78E-05
1448,1.59E-05
1448.2,1.43E-05
1448.4,1.31E-05
1448.6,1.27E-05
1448.8,1.34E-05
1449,1.48E-05
1449.2,1.69E-05
1449.4,1.97E-05
1449.6,2.28E-05
1449.8,2.59E-05
1450,2.85E-05
1450.2,3.04E-05
1450.4,3.14E-05
1450.6,3.14E-05
1450.8,3.02E-05
1451,2.82E-05
1451.2,2.56E-05
1451.4,2.30E-05
1451.6,2.01E-05
1451.8,1.77E-05
1452,1.63E-05
1452.2,1.60E-05
1452.4,1.71E-05
1452.6,1.93E-05
1452.8,2.28E-05
1453,2.68E-05
1453.2,3.12E-05
1453.4,3.51E-05
1453.6,3.85E-05
1453.8,4.06E-05
1454,4.13E-05
1454.2,4.04E-05
1454.4,3.79E-05
1454.6,3.46E-05
1454.8,3.02E-05
1455,2.60E-05
1455.2,2.20E-05
1455.4,1.92E-05
1455.6,1.76E-05
1455.8,1.77E-05
1456,1.93E-05
1456.2,2.26E-05
1456.4,2.69E-05
1456.6,3.17E-05
1456.8,3.66E-05
1457,4.09E-05
1457.2,4.41E-05
1457.4,4.58E-05
1457.6,4.57E-05
1457.8,4.35E-05
1458,4.00E-05
1458.2,3.53E-05
1458.4,3.01E-05
1458.6,2.48E-05
1458.8,2.03E-05
1459,1.70E-05
1459.2,1.56E-05
1459.4,1.60E-05
1459.6,1.83E-05
1459.8,2.20E-05
1460,2.69E-05
1460.2,3.25E-05
1460.4,3.81E-05
1460.6,4.28E-05
1460.8,4.62E-05
1461,4.76E-05
1461.2,4.71E-05
1461.4,4.47E-05
1461.6,4.04E-05
1461.8,3.50E-05
1462,2.90E-05
1462.2,2.31E-05
1462.4,1.80E-05
1462.6,1.43E-05
1462.8,1.26E-05
1463,1.29E-05
1463.2,1.54E-05
1463.4,1.98E-05
1463.6,2.53E-05
1463.8,3.17E-05
1464,3.83E-05
1464.2,4.37E-05
1464.4,4.78E-05
1464.6,4.99E-05
1464.8,4.94E-05
1465,4.71E-05
1465.2,4.28E-05
1465.4,3.70E-05
1465.6,3.04E-05
1465.8,2.37E-05
1466,1.77E-05
1466.2,1.30E-05
1466.4,1.02E-05
1466.6,9.82E-06
1466.8,1.18E-05
1467,1.59E-05
1467.2,2.16E-05
1467.4,2.81E-05
1467.6,3.50E-05
1467.8,4.13E-05
1468,4.63E-05
1468.2,4.95E-05
1468.4,5.02E-05
1468.6,4.87E-05
1468.8,4.50E-05
1469,3.94E-05
1469.2,3.27E-05
1469.4,2.55E-05
1469.6,1.89E-05
1469.8,1.33E-05
1470,9.37E-06
1470.2,7.65E-06
1470.4,8.11E-06
1470.6,1.07E-05
1470.8,1.52E-05
1471,2.10E-05
1471.2,2.74E-05
1471.4,3.35E-05
1471.6,3.89E-05
1471.8,4.27E-05
1472,4.46E-05
1472.2,4.43E-05
1472.4,4.24E-05
1472.6,3.83E-05
1472.8,3.27E-05
1473,2.68E-05
1473.2,2.06E-05
1473.4,1.49E-05
1473.6,1.04E-05
1473.8,7.38E-06
1474,6.36E-06
1474.2,7.17E-06
1474.4,1.00E-05
1474.6,1.41E-05
1474.8,1.90E-05
1475,2.46E-05
1475.2,2.98E-05
1475.4,3.40E-05
1475.6,3.69E-05
1475.8,3.84E-05
1476,3.81E-05
1476.2,3.60E-05
1476.4,3.26E-05
1476.6,2.80E-05
1476.8,2.28E-05
1477,1.77E-05
1477.2,1.28E-05
1477.4,9.33E-06
1477.6,6.94E-06
1477.8,6.19E-06
1478,6.80E-06
1478.2,9.06E-06
1478.4,1.24E-05
1478.6,1.64E-05
1478.8,2.10E-05
1479,2.53E-05
1479.2,2.90E-05
1479.4,3.18E-05
1479.6,3.34E-05
1479.8,3.35E-05
1480,3.24E-05
1480.2,3.01E-05
1480.4,2.67E-05
1480.6,2.28E-05
1480.8,1.86E-05
1481,1.47E-05
1481.2,1.13E-05
1481.4,8.73E-06
1481.6,7.30E-06
1481.8,7.21E-06
1482,8.51E-06
1482.2,1.09E-05
1482.4,1.45E-05
1482.6,1.90E-05
1482.8,2.37E-05
1483,2.84E-05
1483.2,3.27E-05
1483.4,3.61E-05
1483.6,3.86E-05
1483.8,3.96E-05
1484,3.93E-05
1484.2,3.75E-05
1484.4,3.46E-05
1484.6,3.05E-05
1484.8,2.58E-05
1485,2.09E-05
1485.2,1.62E-05
1485.4,1.24E-05
1485.6,9.78E-06
1485.8,8.80E-06
1486,9.67E-06
1486.2,1.24E-05
1486.4,1.69E-05
1486.6,2.31E-05
1486.8,3.02E-05
1487,3.77E-05
1487.2,4.52E-05
1487.4,5.16E-05
1487.6,5.65E-05
1487.8,5.94E-05
1488,5.99E-05
1488.2,5.78E-05
1488.4,5.34E-05
1488.6,4.70E-05
1488.8,3.89E-05
1489,3.05E-05
1489.2,2.24E-05
1489.4,1.59E-05
1489.6,1.15E-05
1489.8,9.94E-06
1490,1.19E-05
1490.2,1.71E-05
1490.4,2.56E-05
1490.6,3.68E-05
1490.8,4.96E-05
1491,6.24E-05
1491.2,7.47E-05
1491.4,8.52E-05
1491.6,9.23E-05
1491.8,9.54E-05
1492,9.42E-05
1492.2,8.87E-05
1492.4,7.90E-05
1492.6,6.66E-05
1492.8,5.28E-05
1493,3.91E-05
1493.2,2.71E-05
1493.4,1.86E-05
1493.6,1.47E-05
1493.8,1.63E-05
1494,2.35E-05
1494.2,3.61E-05
1494.4,5.31E-05
1494.6,7.34E-05
1494.8,9.45E-05
1495,1.15E-04
1495.2,1.32E-04
1495.4,1.44E-04
1495.6,1.50E-04
1495.8,1.48E-04
1496,1.40E-04
1496.2,1.26E-04
1496.4,1.06E-04
1496.6,8.51E-05
1496.8,6.37E-05
1497,4.46E-05
1497.2,3.12E-05
1497.4,2.48E-05
1497.6,2.64E-05
1497.8,3.72E-05
1498,5.65E-05
1498.2,8.26E-05
1498.4,1.14E-04
1498.6,1.47E-04
1498.8,1.79E-04
1499,2.05E-04
1499.2,2.25E-04
1499.4,2.34E-04
1499.6,2.33E-04
1499.8,2.20E-04
1500,1.99E-04
1500.2,1.71E-04
1500.4,1.38E-04
1500.6,1.04E-04
1500.8,7.52E-05
1501,5.30E-05
1501.2,4.13E-05
1501.4,4.30E-05
1501.6,5.79E-05
1501.8,8.53E-05
1502,1.23E-04
1502.2,1.69E-04
1502.4,2.18E-04
1502.6,2.65E-04
1502.8,3.07E-04
1503,3.37E-04
1503.2,3.53E-04
1503.4,3.54E-04
1503.6,3.39E-04
1503.8,3.09E-04
1504,2.69E-04
1504.2,2.21E-04
1504.4,1.71E-04
1504.6,1.25E-04
1504.8,9.02E-05
1505,6.93E-05
1505.2,6.66E-05
1505.4,8.48E-05
1505.6,1.23E-04
1505.8,1.76E-04
1506,2.42E-04
1506.2,3.14E-04
1506.4,3.85E-04
1506.6,4.49E-04
1506.8,5.00E-04
1507,5.30E-04
1507.2,5.38E-04
1507.4,5.21E-04
1507.6,4.82E-04
1507.8,4.24E-04
1508,3.54E-04
1508.2,2.82E-04
1508.4,2.13E-04
1508.6,1.54E-04
1508.8,1.17E-04
1509,1.07E-04
1509.2,1.24E-04
1509.4,1.71E-04
1509.6,2.47E-04
1509.8,3.40E-04
1510,4.44E-04
1510.2,5.54E-04
1510.4,6.55E-04
1510.6,7.38E-04
1510.8,7.94E-04
1511,8.19E-04
1511.2,8.07E-04
1511.4,7.61E-04
1511.6,6.85E-04
1511.8,5.88E-04
1512,4.78E-04
1512.2,3.72E-04
1512.4,2.78E-04
1512.6,2.06E-04
1512.8,1.69E-04
1513,1.74E-04
1513.2,2.21E-04
1513.4,3.07E-04
1513.6,4.30E-04
1513.8,5.78E-04
1514,7.37E-04
1514.2,8.90E-04
1514.4,1.03E-03
1514.6,1.14E-03
1514.8,1.20E-03
1515,1.22E-03
1515.2,1.19E-03
1515.4,1.10E-03
1515.6,9.78E-04
1515.8,8.33E-04
1516,6.74E-04
1516.2,5.21E-04
1516.4,3.94E-04
1516.6,3.04E-04
1516.8,2.61E-04
1517,2.77E-04
1517.2,3.54E-04
1517.4,4.82E-04
1517.6,6.58E-04
1517.8,8.63E-04
1518,1.08E-03
1518.2,1.27E-03
1518.4,1.46E-03
1518.6,1.59E-03
1518.8,1.66E-03
1519,1.67E-03
1519.2,1.62E-03
1519.4,1.50E-03
1519.6,1.33E-03
1519.8,1.13E-03
1520,9.24E-04
1520.2,7.23E-04
1520.4,5.49E-04
1520.6,4.34E-04
1520.8,3.80E-04
1521,3.90E-04
1521.2,4.78E-04
1521.4,6.33E-04
1521.6,8.38E-04
1521.8,1.07E-03
1522,1.32E-03
1522.2,1.57E-03
1522.4,1.77E-03
1522.6,1.93E-03
1522.8,2.02E-03
1523,2.03E-03
1523.2,1.96E-03
1523.4,1.83E-03
1523.6,1.63E-03
1523.8,1.39E-03
1524,1.14E-03
1524.2,9.00E-04
1524.4,6.93E-04
1524.6,5.25E-04
1524.8,4.43E-04
1525,4.41E-04
1525.2,5.18E-04
1525.4,6.73E-04
1525.6,8.98E-04
1525.8,1.16E-03
1526,1.45E-03
1526.2,1.71E-03
1526.4,1.95E-03
1526.6,2.13E-03
1526.8,2.24E-03
1527,2.27E-03
1527.2,2.20E-03
1527.4,2.05E-03
1527.6,1.83E-03
1527.8,1.57E-03
1528,1.28E-03
1528.2,9.95E-04
1528.4,7.50E-04
1528.6,5.52E-04
1528.8,4.51E-04
1529,4.41E-04
1529.2,5.30E-04
1529.4,7.10E-04
1529.6,9.71E-04
1529.8,1.29E-03
1530,1.63E-03
1530.2,1.97E-03
1530.4,2.29E-03
1530.6,2.54E-03
1530.8,2.69E-03
1531,2.75E-03
1531.2,2.70E-03
1531.4,2.54E-03
1531.6,2.28E-03
1531.8,1.97E-03
1532,1.63E-03
1532.2,1.29E-03
1532.4,9.81E-04
1532.6,7.54E-04
1532.8,6.30E-04
1533,6.32E-04
1533.2,7.80E-04
1533.4,1.06E-03
1533.6,1.46E-03
1533.8,1.93E-03
1534,2.45E-03
1534.2,2.99E-03
1534.4,3.48E-03
1534.6,3.89E-03
1534.8,4.19E-03
1535,4.32E-03
1535.2,4.28E-03
1535.4,4.08E-03
1535.6,3.75E-03
1535.8,3.29E-03
1536,2.79E-03
1536.2,2.28E-03
1536.4,1.83E-03
1536.6,1.49E-03
1536.8,1.31E-03
1537,1.33E-03
1537.2,1.52E-03
1537.4,1.90E-03
1537.6,2.44E-03
1537.8,3.08E-03
1538,3.76E-03
1538.2,4.44E-03
1538.4,5.03E-03
1538.6,5.46E-03
1538.8,5.72E-03
1539,5.74E-03
1539.2,5.56E-03
1539.4,5.15E-03
1539.6,4.64E-03
1539.8,4.01E-03
1540,3.32E-03
1540.2,2.69E-03
1540.4,2.11E-03
1540.6,1.69E-03
1540.8,1.36E-03
1541,1.21E-03
1541.2,1.24E-03
1541.4,1.37E-03
1541.6,1.63E-03
1541.8,1.92E-03
1542,2.23E-03
1542.2,2.51E-03
1542.4,2.64E-03
1542.6,2.67E-03
1542.8,2.59E-03
1543,2.37E-03
1543.2,2.08E-03
1543.4,1.72E-03
1543.6,1.36E-03
1543.8,1.05E-03
1544,7.60E-04
1544.2,5.09E-04
1544.4,3.31E-04
1544.6,2.18E-04
1544.8,1.58E-04
1545,1.17E-04
1545.2,1.08E-04
1545.4,1.10E-04
1545.6,1.27E-04
1545.8,1.50E-04
1546,1.78E-04
1546.2,2.22E-04
1546.4,2.50E-04
1546.6,3.00E-04
1546.8,3.65E-04
1547,4.33E-04
1547.2,5.04E-04
1547.4,5.86E-04
1547.6,7.02E-04
1547.8,7.82E-04
1548,8.58E-04
1548.2,9.11E-04
1548.4,9.30E-04
1548.6,9.14E-04
1548.8,8.48E-04
1549,8.09E-04
1549.2,7.15E-04
1549.4,6.06E-04
1549.6,5.18E-04
1549.8,4.37E-04
1550,3.60E-04
1550.2,2.70E-04
1550.4,2.26E-04
1550.6,1.81E-04
1550.8,1.54E-04
1551,1.37E-04
1551.2,1.22E-04
1551.4,1.11E-04
1551.6,9.87E-05
1551.8,1.06E-04
1552,1.05E-04
1552.2,1.21E-04
1552.4,1.45E-04
1552.6,2.23E-04
1552.8,3.11E-04
1553,4.47E-04
1553.2,6.42E-04
1553.4,8.36E-04
1553.6,1.10E-03
1553.8,1.32E-03
1554,1.55E-03
1554.2,1.74E-03
1554.4,1.94E-03
1554.6,2.19E-03
1554.8,2.29E-03
1555,2.36E-03
1555.2,2.31E-03
1555.4,2.21E-03
1555.6,2.04E-03
1555.8,1.70E-03
1556,1.45E-03
1556.2,1.25E-03
1556.4,1.10E-03
1556.6,9.56E-04
1556.8,9.15E-04
1557,9.31E-04
1557.2,1.03E-03
1557.4,1.18E-03
1557.6,1.38E-03
1557.8,1.62E-03
1558,1.88E-03
1558.2,2.21E-03
1558.4,2.39E-03
1558.6,2.57E-03
1558.8,2.97E-03
1559,3.24E-03
1559.2,3.59E-03
1559.4,3.83E-03
1559.6,4.19E-03
1559.8,4.67E-03
1560,4.91E-03
1560.2,5.27E-03
1560.4,5.73E-03
1560.6,6.37E-03
1560.8,6.97E-03
1561,7.26E-03
1561.2,8.06E-03
1561.4,9.21E-03
1561.6,1.02E-02
1561.8,1.15E-02
1562,1.33E-02
1562.2,1.56E-02
1562.4,1.75E-02
1562.6,1.96E-02
1562.8,2.24E-02
1563,2.54E-02
1563.2,2.84E-02
1563.4,3.06E-02
1563.6,3.25E-02
1563.8,3.43E-02
1564,3.52E-02
1564.2,3.50E-02
1564.4,3.46E-02
1564.6,3.44E-02
1564.8,3.41E-02
1565,3.26E-02
1565.2,3.09E-02
1565.4,2.98E-02
1565.6,2.85E-02
1565.8,2.70E-02
1566,2.60E-02
1566.2,2.54E-02
1566.4,2.51E-02
1566.6,2.43E-02
1566.8,2.35E-02
1567,2.29E-02
1567.2,2.18E-02
1567.4,2.07E-02
1567.6,1.93E-02
1567.8,1.75E-02
1568,1.55E-02
1568.2,1.32E-02
1568.4,1.12E-02
1568.6,9.21E-03
1568.8,7.43E-03
1569,6.14E-03
1569.2,5.14E-03
1569.4,4.26E-03
1569.6,3.67E-03
1569.8,3.14E-03
1570,2.93E-03
1570.2,2.97E-03
1570.4,3.13E-03
1570.6,3.46E-03
1570.8,3.86E-03
1571,4.33E-03
1571.2,4.86E-03
1571.4,5.58E-03
1571.6,6.42E-03
1571.8,7.39E-03
1572,8.54E-03
1572.2,9.87E-03
1572.4,1.11E-02
1572.6,1.21E-02
1572.8,1.26E-02
1573,1.28E-02
1573.2,1.27E-02
1573.4,1.21E-02
1573.6,1.13E-02
1573.8,1.02E-02
1574,9.14E-03
1574.2,8.07E-03
1574.4,6.93E-03
1574.6,5.89E-03
1574.8,5.02E-03
1575,4.44E-03
1575.2,4.16E-03
1575.4,3.96E-03
1575.6,3.88E-03
1575.8,3.96E-03
1576,4.15E-03
1576.2,4.38E-03
1576.4,4.57E-03
1576.6,4.76E-03
1576.8,5.00E-03
1577,5.14E-03
1577.2,5.15E-03
1577.4,5.04E-03
1577.6,4.85E-03
1577.8,4.66E-03
1578,4.41E-03
1578.2,4.12E-03
1578.4,3.88E-03
1578.6,3.65E-03
1578.8,3.43E-03
1579,3.21E-03
1579.2,2.99E-03
1579.4,2.82E-03
1579.6,2.69E-03
1579.8,2.57E-03
1580,2.48E-03
1580.2,2.43E-03
1580.4,2.39E-03
1580.6,2.39E-03
1580.8,2.38E-03
1581,2.39E-03
1581.2,2.41E-03
1581.4,2.40E-03
1581.6,2.39E-03
1581.8,2.35E-03
1582,2.28E-03
1582.2,2.21E-03
1582.4,2.11E-03
1582.6,2.01E-03
1582.8,1.90E-03
1583,1.75E-03
1583.2,1.63E-03
1583.4,1.52E-03
1583.6,1.41E-03
1583.8,1.34E-03
1584,1.30E-03
1584.2,1.31E-03
1584.4,1.36E-03
1584.6,1.43E-03
1584.8,1.55E-03
1585,1.71E-03
1585.2,1.89E-03
1585.4,2.08E-03
1585.6,2.28E-03
1585.8,2.44E-03
1586,2.60E-03
1586.2,2.72E-03
1586.4,2.79E-03
1586.6,2.82E-03
1586.8,2.82E-03
1587,2.80E-03
1587.2,2.72E-03
1587.4,2.60E-03
1587.6,2.49E-03
1587.8,2.36E-03
1588,2.24E-03
1588.2,2.13E-03
1588.4,2.07E-03
1588.6,2.05E-03
1588.8,2.08E-03
1589,2.15E-03
1589.2,2.29E-03
1589.4,2.50E-03
1589.6,2.71E-03
1589.8,2.94E-03
1590,3.18E-03
1590.2,3.40E-03
1590.4,3.57E-03
1590.6,3.68E-03
1590.8,3.75E-03
1591,3.76E-03
1591.2,3.68E-03
1591.4,3.55E-03
1591.6,3.38E-03
1591.8,3.18E-03
1592,2.96E-03
1592.2,2.74E-03
1592.4,2.55E-03
1592.6,2.40E-03
1592.8,2.30E-03
1593,2.26E-03
1593.2,2.30E-03
1593.4,2.41E-03
1593.6,2.59E-03
1593.8,2.83E-03
1594,3.11E-03
1594.2,3.40E-03
1594.4,3.71E-03
1594.6,4.00E-03
1594.8,4.24E-03
1595,4.40E-03
1595.2,4.50E-03
1595.4,4.53E-03
1595.6,4.46E-03
1595.8,4.31E-03
1596,4.11E-03
1596.2,3.86E-03
1596.4,3.57E-03
1596.6,3.25E-03
1596.8,2.96E-03
1597,2.70E-03
1597.2,2.50E-03
1597.4,2.36E-03
1597.6,2.31E-03
1597.8,2.34E-03
1598,2.46E-03
1598.2,2.65E-03
1598.4,2.90E-03
1598.6,3.19E-03
1598.8,3.51E-03
1599,3.84E-03
1599.2,4.15E-03
1599.4,4.40E-03
